Iteration,Total SSR Count,Source,Genome Size,SSR Density
37,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
38,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
39,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
40,26,Mycoplasmoides Pneumoniae,817125,0.031818877160777116
41,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
42,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
43,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
44,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
45,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
46,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
47,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
48,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
49,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
50,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
51,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
52,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
53,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
54,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
55,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
56,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
57,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
58,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
59,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
60,25,Mycoplasmoides Pneumoniae,817125,0.03059507419305492
61,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
62,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
63,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
64,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
65,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
66,26,Mycoplasmoides Pneumoniae,817125,0.031818877160777116
67,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
68,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
69,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
70,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
71,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
72,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
73,25,Mycoplasmoides Pneumoniae,817125,0.03059507419305492
74,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
75,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
76,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
77,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
78,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
79,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
80,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
81,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
82,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
83,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
84,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
85,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
86,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
87,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
88,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
89,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
90,33,Mycoplasmoides Pneumoniae,817125,0.04038549793483249
91,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
92,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
93,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
94,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
95,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
96,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
97,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
98,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
99,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
100,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
1,32,Neisseria Flavescens,2231882,0.014337675558116424
2,31,Neisseria Flavescens,2231882,0.013889623196925285
3,29,Neisseria Flavescens,2231882,0.012993518474543008
4,32,Neisseria Flavescens,2231882,0.014337675558116424
